"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Debe devolver un alimento","Read Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","6","Debe lanzar un error si el usuario tiene consumos asociados","Delete UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","10","Debe actualizar un experto en nutrición","Update Experto","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","11","Debe actualizar un usuario móvil","Update UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","6","Deberia regresar un error 401 si no se envía un token","GET /api/medidietas/alimentos","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","131","Debe devolver un consumo","Read Consumo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","21","Debe lanzar error si el nombre de usuario ya existe","Create UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","8","Debe eliminar un objetivo","Delete Objetivo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","5","Debe devolver nulo si el usuario no existe","Read UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","24","Debería regresar todos los alimentos","GET /api/medidietas/alimentos","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","4","Debe devolver todos los momentos","Read Momento","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","7","Debe eliminar una comida","Delete Comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","20","Debe lanzar un error si el correo ya existe","Create Experto","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","11","Debería regresar un error 400 si ya existe un alimento con el mismo nombre","POST /api/medidietas/alimentos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","14","Deberia retornar error si id_momento no existe","POST /api/medidietas/consumos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","8","Debe cerrar la sesión correctamente","Cerrar Sesión","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","41","Debe actualizar el usuario correctamente","Usuario Editar","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","19","Debe fallar si el nombre de usuario ya existe","Crear Usuario Movil","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","14","Debe regresar un error 400 si ya existe una comida con el mismo nombre","PUT /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","11","Deberia retornar error si id_comida no existe","POST /api/medidietas/consumos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","26","Debería registrar un nuevo alimento","POST /api/medidietas/alimentos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","18","Debería actualizar un alimento existente","PUT /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","14","Debe obtener un usuario correctamente","Obtener Usuario Por Nombre","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","7","Deberia regresar un error 401 si no se envía un token","GET /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","12","Debe actualizar un consumo","Update Consumo","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","64","Debe crear un consumo","Create Consumo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","20","Debe eliminar una comida existente","DELETE /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","12","Debe fallar si no hay token","LogOut","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","64","Debe crear un objetivo","Create Objetivo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","12","Debería regresar un error 400 si hay un error en la solicitud","DELETE /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","15","Debe hacer un login exitoso","Experto Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","7","Debe fallar si no se envia el token","Usuario Editar","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","4","Debe devolver todas las categorias","Read Categoria","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","36","Debe registrar una nueva comida","POST /api/medidietas/comidas","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","16","Debería regresar un error 400 si hay un error en la solicitud","PUT /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","42","Debe lanzar un error si falta un campo requerido","Create Experto","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","12","Debería regresar un error 404 si el alimento no existe","PUT /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","20","Debe devolver un objetivo","Read Objetivo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","34","Deberia obtener consumos del dia por usuario","GET /api/medidietas/consumos/:nombre_usuario","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","7","Debe cerrar sesión correctamente","LogOut","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","13","Debería regresar un error 404 si el ID no es válido","GET /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","7","Debe regresar un error 404 si la comida no existe","GET /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","9","Debe fallar si no se envía el token","Cerrar Sesión","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","42","Debe lanzar error si falta un campo requerido","Create UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","8","Debe devolver nulo con un experto que no existe","Read Experto","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","43","Debe lanzar un error si falta un campo requerido","Create Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","5","Deberia regresar un error 401 si no se envia el token","POST /api/medidietas/comidas","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","13","Debe regresar un error 404 si el id no es valido","DELETE /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","6","Deberia regresar un error 401 si no se envia el token","PUT /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","6","Deberia retornar error si no se envia token","POST /api/medidietas/consumos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","7","Debe eliminar un experto en nutrición","Delete Experto","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Deberia regresar un error 401 si no se envia el token","DELETE /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","8","Debe fallar si no se envia el token","Obtener Usuario Por Nombre","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","19","Debe hacer un login exitoso","Usuario Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","41","Debe lanzar un error si falta un campo requerido","Create comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","62","Debe crear un alimento","Create Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","13","Debe regresar un error 404 si la comida no existe","PUT /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","40","Debe fallar si el nuevo nombre de usuario ya existe","Usuario Editar","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","35","Debería regresar un error 400 si ya existe un alimento con el mismo nombre","PUT /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","10","Debe actualizar un objetivo","Update Objetivo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","8","Debe fallar si el correo es incorrecto","Usuario Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","46","Debe devolver una comida","Read Comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","7","Debe eliminar un usuario móvil","Delete UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","12","Debe devolver una unidad de medida","Read UnidadMedida","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Debe eliminar un alimento","Delete Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","21","Debe regresar todas las comidas","GET /api/medidietas/comidas","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Deve devolver nulo con un alimento que no existe","Read Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","9","Deberia retornar error si usuario no existe","GET /api/medidietas/consumos/:nombre_usuario","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","18","Debe regresar un error 400 si uno o más alimentos no existen","PUT /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","9","Debe lanzar un error si el nombre de usuario ya existe","Update UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","15","Debe devolver una categoria","Read Categoria","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Debería regresar todas las unidades de medida","GET /api/medidietas/unidades-medida","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","6","Debería regresar un error 401 si no se envía un token","PUT /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","6","Deberia retornar error si no se envia token","GET /api/medidietas/consumos/:nombre_usuario","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","17","Debe regresar una comida por id","GET /api/medidietas/comidas/:id","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","4","Debe debolver nulo si no existe la comida","Read Comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","45","Debe lanzar un error si falta un campo requerido","Create Objetivo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","55","Debe lanzar un error si falta un campo requerido","Create Consumo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","14","Debe fallar si hay un error en la creación del usuario","Crear Usuario Movil","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","14","Debería regresar un error 404 si el alimento no existe","DELETE /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","3","Debe devolver todas las unidades de medida","Read UnidadMedida","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Debe actualizar una comida","Update Comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","9","Debería regresar un error 404 si el alimento no existe","GET /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","15","Debe devolver un momento","Read Momento","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","10","Debería regresar un alimento por ID","GET /api/medidietas/alimentos/:id","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","11","Debe regresar un error 400 si ya existe una comida con el mismo nombre","POST /api/medidietas/comidas","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","6","Debe fallar si la contraseña es incorrecta","Usuario Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Debe fallar si la contraseña es incorrecta","Experto Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","11","Debe fallar si el usuario no existe","Obtener Usuario Por Nombre","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
